IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-06-14,10:59:13 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-14,11:10:39 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-14,11:44:05 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
192.168.29.182,2024-02-28,11:40:06 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,12:09:20 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,12:18:25 UTC,["necessary"],desktop,en,Chrome,Linux,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,12:29:54 UTC,["necessary"],mobile,es,Chrome,Android,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,13:49:34 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,16:29:09 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,17:27:04 UTC,["necessary"],desktop,pt,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,17:40:11 UTC,["necessary"],desktop,en,Firefox,OS X,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,17:49:38 UTC,["necessary"],desktop,uz,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,19:20:32 UTC,["necessary"],desktop,ar,Firefox,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,19:39:20 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,19:49:07 UTC,["necessary"],desktop,vi,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,20:37:03 UTC,["necessary"],desktop,en,Edge,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,21:56:28 UTC,["necessary"],desktop,tr,Chrome,OS X,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,21:58:08 UTC,["necessary"],desktop,es,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,22:03:08 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-28,23:48:07 UTC,["necessary"],desktop,pt,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,05:13:56 UTC,["necessary"],desktop,id,Firefox,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,06:25:26 UTC,["necessary"],desktop,en,Edge,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,06:56:25 UTC,["necessary"],desktop,en,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,08:29:26 UTC,["necessary"],desktop,ro,Chrome,Windows,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,09:44:25 UTC,["necessary"],mobile,en,Chrome,iOS,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,09:51:15 UTC,["necessary"],desktop,en,Chrome,OS X,-,-,-,-,-,-,-
192.168.29.182,2024-02-29,11:03:32 UTC,["necessary"],desktop,fr,Firefox,Windows,-,-,-,-,-,-,-
